Order_ID,Transaction_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_Corrected,Cost,Profit_Corrected,Profit_Status
2037,0038,Kids,Running,Pegasus Turbo,7,3,5653.14,1.01,-169.59,01-08-2024,Retail,Pune,-12041.18,-169.59,11871.59,-12041.18,Loss
2038,0039,Kids,Running,Free RN,L,0,6110.03,0.83,0,01-08-2024,Online,Delhi,0,0,0,0,Break-even
2039,0040,Women,Training,Flex Trainer,M,2,2767.7,0.63,2048.1,01-08-2024,Retail,Hyderabad,-1826.68,2048.1,3874.78,-1826.68,Loss
2002,0041,Women,Basketball,Zoom Freak,XL,3,5075.22,0.62,5785.75,01-08-2024,Retail,Delhi,-4872.21,5785.75,10657.96,-4872.21,Loss
2041,0042,Kids,Soccer,Tiempo Legend,12,2,5553.88,0.62,4220.95,01-08-2024,Online,Hyderabad,-3554.48,4220.95,7775.43,-3554.48,Loss
2042,0043,Women,Basketball,Kyrie Flytrap,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2043,0044,Men,Soccer,Premier III,XL,2,3492.89,0.77,1606.73,02-05-2024,Retail,Delhi,-3283.32,1606.73,4890.05,-3283.32,Loss
2044,0045,Kids,Training,SuperRep Go,L,2,6110.03,0.62,4643.62,06-09-2023,Online,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2045,0046,Kids,Lifestyle,Dunk Low,XL,4,6110.03,0.62,9287.25,06-04-2025,Retail,Delhi,-7820.83,9287.25,17108.08,-7820.83,Loss
2046,0047,Kids,Running,Air Zoom,12,2,6110.03,1.04,-488.8,01-08-2024,Online,Kolkata,-9042.84,-488.8,8554.04,-9042.84,Loss
2047,0048,Women,Training,SuperRep Go,10,1,8577.75,0.62,3259.54,13-06-2024,Retail,Bangalore,-2744.88,3259.54,6004.42,-2744.88,Loss
2048,0049,Women,Basketball,Air Jordan,XL,2,6110.03,0.62,4643.62,01-08-2024,Online,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2049,0050,Kids,Soccer,Tiempo Legend,L,1,7767.2,0.62,2951.54,01-08-2024,Retail,Pune,-2485.5,2951.54,5437.04,-2485.5,Loss
2050,0051,Men,Running,Air Zoom,L,1,6110.03,0.57,2627.31,01-08-2024,Retail,Kolkata,-1649.71,2627.31,4277.02,-1649.71,Loss
2051,0052,Women,Basketball,Air Jordan,XL,2,6110.03,0.37,7698.64,05-01-2024,Retail,Delhi,-855.4,7698.64,8554.04,-855.4,Loss
2052,0053,Men,Training,Flex Trainer,10,3,9155.96,0.62,10437.79,08-10-2024,Retail,Pune,-8789.73,10437.79,19227.52,-8789.73,Loss
2053,0054,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.62,6850.92,01-08-2024,Online,Delhi,-5769.2,6850.92,12620.12,-5769.2,Loss
2054,0055,Women,Training,Flex Trainer,11,2,6110.03,0.62,4643.62,01-08-2024,Online,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2055,0056,Men,Basketball,Kyrie Flytrap,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2056,0057,Men,Running,React Infinity,L,3,6110.03,0.62,6965.43,31-05-2024,Retail,Bangalore,-5865.63,6965.43,12831.06,-5865.63,Loss
2048,0058,Men,Lifestyle,Waffle One,M,3,6216.29,0.94,1118.93,01-08-2024,Online,Mumbai,-11935.28,1118.93,13054.21,-11935.28,Loss
2058,0059,Women,Training,Flex Trainer,11,2,4985.92,0.62,3789.3,01-08-2024,Online,Kolkata,-3190.99,3789.3,6980.29,-3190.99,Loss
2059,0060,Kids,Soccer,Phantom GT,L,2,9507.54,0.62,7225.73,27-12-2023,Retail,Delhi,-6084.83,7225.73,13310.56,-6084.83,Loss
2060,0061,Men,Lifestyle,Waffle One,L,2,7979.26,0.62,6064.24,11-07-2024,Online,Bangalore,-5106.72,6064.24,11170.96,-5106.72,Loss
2061,0062,Women,Basketball,LeBron 20,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2062,0063,Men,Basketball,Air Jordan,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2063,0064,Women,Basketball,Air Jordan,M,1,9751,0.16,8190.84,01-08-2024,Retail,Pune,1365.14,8190.84,6825.7,1365.14,Profit
2064,0065,Kids,Running,React Infinity,L,2,7557.71,0.62,5743.86,01-08-2024,Online,Bangalore,-4836.93,5743.86,10580.79,-4836.93,Loss
2065,0066,Women,Lifestyle,Waffle One,10,2,6110.03,0.78,2688.41,11-02-2024,Retail,Hyderabad,-5865.63,2688.41,8554.04,-5865.63,Loss
2066,0067,Men,Soccer,Phantom GT,XL,2,5259.05,0.62,3996.88,10-12-2024,Online,Mumbai,-3365.79,3996.88,7362.67,-3365.79,Loss
2067,0068,Kids,Basketball,LeBron 20,L,4,3588.38,0.62,5454.34,01-08-2024,Online,Kolkata,-4593.12,5454.34,10047.46,-4593.12,Loss
2068,0069,Men,Running,Free RN,L,4,2553.29,0.62,3881,01-08-2024,Retail,Mumbai,-3268.21,3881,7149.21,-3268.21,Loss
2069,0070,Women,Training,SuperRep Go,L,2,7502.24,0.62,5701.7,14-07-2025,Online,Pune,-4801.44,5701.7,10503.14,-4801.44,Loss
2070,0071,Kids,Running,React Infinity,L,2,6110.03,0.62,4643.62,01-08-2024,Retail,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2071,0072,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,01-08-2024,Retail,Pune,-4474.39,12010.21,16484.6,-4474.39,Loss
2072,0073,Men,Training,Flex Trainer,L,3,6110.03,0.62,6965.43,01-08-2024,Retail,Pune,-5865.63,6965.43,12831.06,-5865.63,Loss
2073,0074,Women,Lifestyle,Blazer Mid,12,4,6110.03,0.85,3666.02,01-08-2024,Online,Hyderabad,-13442.06,3666.02,17108.08,-13442.06,Loss
2074,0075,Men,Training,Flex Trainer,L,2,6110.03,0.57,5254.63,01-08-2024,Online,Kolkata,-3299.41,5254.63,8554.04,-3299.41,Loss
2075,0076,Kids,Basketball,Air Jordan,L,4,4251.74,0.62,6462.64,01-08-2024,Online,Pune,-5442.23,6462.64,11904.87,-5442.23,Loss
2076,0077,Women,Training,ZoomX Invincible,11,2,6110.03,0.62,4643.62,01-08-2024,Retail,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2077,0078,Men,Training,ZoomX Invincible,L,2,6110.03,0.62,4643.62,21-11-2023,Online,Pune,-3910.42,4643.62,8554.04,-3910.42,Loss
2078,0079,Women,Basketball,LeBron 20,L,0,6970.47,0.62,0,01-08-2024,Online,Mumbai,0,0,0,0,Break-even
2079,0080,Men,Running,Pegasus Turbo,XL,2,4322.06,0.62,3284.77,01-08-2024,Online,Bangalore,-2766.11,3284.77,6050.88,-2766.11,Loss
2080,0081,Men,Lifestyle,Blazer Mid,L,2,6110.03,0.62,4643.62,31-03-2025,Online,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2081,0082,Men,Training,ZoomX Invincible,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2028,0083,Men,Running,Free RN,L,2,6110.03,0.21,9653.85,14-02-2024,Online,Hyderabad,1099.81,9653.85,8554.04,1099.81,Profit
2083,0084,Men,Running,Free RN,L,2,9291.74,0.62,7061.72,01-08-2024,Retail,Delhi,-5946.72,7061.72,13008.44,-5946.72,Loss
2084,0085,Men,Training,Metcon 7,M,2,6110.03,0.62,4643.62,24-12-2023,Online,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2085,0086,Men,Basketball,Kyrie Flytrap,L,2,7561.85,0.62,5747.01,01-08-2024,Retail,Kolkata,-4839.58,5747.01,10586.59,-4839.58,Loss
2086,0087,Men,Soccer,Mercurial Superfly,L,0,6110.03,0.45,0,11-10-2024,Online,Kolkata,0,0,0,0,Break-even
2087,0088,Kids,Basketball,Zoom Freak,L,2,4656.28,0.62,3538.77,01-08-2024,Online,Kolkata,-2980.02,3538.77,6518.79,-2980.02,Loss
2088,0089,Women,Running,Free RN,XL,4,6110.03,0.62,9287.25,01-08-2024,Online,Bangalore,-7820.83,9287.25,17108.08,-7820.83,Loss
2089,0090,Women,Training,Flex Trainer,L,2,6874.77,0.6,5499.82,01-08-2024,Online,Mumbai,-4124.86,5499.82,9624.68,-4124.86,Loss
2090,0091,Kids,Lifestyle,Dunk Low,8,2,6110.03,0.62,4643.62,01-08-2024,Retail,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2091,0092,Kids,Running,Air Zoom,11,2,9246.88,0.62,7027.63,01-08-2024,Retail,Mumbai,-5918,7027.63,12945.63,-5918,Loss
2092,0093,Kids,Basketball,Zoom Freak,XL,2,6110.03,1.13,-1588.61,01-08-2024,Online,Delhi,-10142.65,-1588.61,8554.04,-10142.65,Loss
2093,0094,Men,Running,Free RN,XL,0,6110.03,0.29,0,01-08-2024,Online,Kolkata,0,0,0,0,Break-even
2094,0095,Kids,Training,Flex Trainer,10,1,4276.36,0.62,1625.02,01-08-2024,Retail,Delhi,-1368.43,1625.02,2993.45,-1368.43,Loss
2095,0096,Men,Lifestyle,Waffle One,M,2,6110.03,0.62,4643.62,01-08-2024,Online,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2096,0097,Men,Running,Pegasus Turbo,XL,2,6110.03,0.62,4643.62,01-08-2024,Online,Kolkata,-3910.42,4643.62,8554.04,-3910.42,Loss
2097,0098,Women,Training,ZoomX Invincible,XL,2,7978.89,0.62,6063.96,01-08-2024,Online,Bangalore,-5106.49,6063.96,11170.45,-5106.49,Loss
2098,0099,Men,Training,ZoomX Invincible,L,2,5690.69,0.69,3528.23,24-01-2024,Online,Hyderabad,-4438.74,3528.23,7966.97,-4438.74,Loss
2099,0100,Kids,Soccer,Mercurial Superfly,M,2,6110.03,0.32,8309.64,01-08-2024,Retail,Mumbai,-244.4,8309.64,8554.04,-244.4,Loss
2100,0101,Kids,Soccer,Phantom GT,8,1,5937.52,0.62,2256.26,11-07-2025,Retail,Mumbai,-1900,2256.26,4156.26,-1900,Loss
2101,0102,Kids,Running,Free RN,XL,2,2010.07,0.62,1527.65,01-08-2024,Online,Hyderabad,-1286.45,1527.65,2814.1,-1286.45,Loss
2102,0103,Women,Soccer,Mercurial Superfly,XL,2,6110.03,0.77,2810.61,01-08-2024,Online,Pune,-5743.43,2810.61,8554.04,-5743.43,Loss
2103,0104,Women,Basketball,LeBron 20,XL,2,6777.88,0.62,5151.19,01-08-2024,Online,Kolkata,-4337.84,5151.19,9489.03,-4337.84,Loss
2104,0105,Men,Basketball,Kyrie Flytrap,L,2,6110.03,0.62,4643.62,01-08-2024,Retail,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2105,0106,Kids,Training,Metcon 7,L,2,5744.7,0.62,4365.97,01-08-2024,Retail,Mumbai,-3676.61,4365.97,8042.58,-3676.61,Loss
2106,0107,Women,Running,Free RN,L,2,6110.03,0.62,4643.62,01-08-2024,Retail,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2107,0108,Women,Running,React Infinity,M,4,6110.03,0.62,9287.25,01-08-2024,Online,Hyderabad,-7820.83,9287.25,17108.08,-7820.83,Loss
2108,0109,Kids,Lifestyle,Air Force 1,XL,2,6110.03,0.27,8920.64,01-08-2024,Retail,Mumbai,366.6,8920.64,8554.04,366.6,Profit
2109,0110,Kids,Basketball,Zoom Freak,M,0,6110.03,0.62,0,01-08-2024,Retail,Kolkata,0,0,0,0,Break-even
2110,0111,Kids,Running,Air Zoom,12,1,6110.03,0.42,3543.82,25-12-2024,Retail,Pune,-733.2,3543.82,4277.02,-733.2,Loss
2111,0112,Men,Lifestyle,Waffle One,L,2,6110.03,1.14,-1710.81,01-08-2024,Retail,Bangalore,-10264.85,-1710.81,8554.04,-10264.85,Loss
2112,0113,Women,Training,Metcon 7,L,2,2201.54,0.62,1673.17,01-08-2024,Retail,Bangalore,-1408.99,1673.17,3082.16,-1408.99,Loss
2113,0114,Women,Basketball,Air Jordan,XL,2,3939.34,0.62,2993.9,19-12-2023,Retail,Pune,-2521.18,2993.9,5515.08,-2521.18,Loss
2114,0115,Women,Training,Flex Trainer,XL,1,3167.33,0.53,1488.65,01-08-2024,Retail,Pune,-728.48,1488.65,2217.13,-728.48,Loss
2115,0116,Kids,Soccer,Phantom GT,6,2,7607.45,0.62,5781.66,01-08-2024,Online,Kolkata,-4868.77,5781.66,10650.43,-4868.77,Loss
2116,0117,Women,Basketball,LeBron 20,L,2,4038.32,1.13,-1049.96,01-08-2024,Online,Hyderabad,-6703.61,-1049.96,5653.65,-6703.61,Loss
2117,0118,Women,Training,SuperRep Go,L,0,7645.96,0.62,0,30-10-2024,Online,Pune,0,0,0,0,Break-even
2118,0119,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.62,6404.17,21-09-2023,Online,Hyderabad,-5392.99,6404.17,11797.16,-5392.99,Loss
2119,0120,Women,Training,Metcon 7,11,2,6110.03,0.41,7209.84,01-08-2024,Retail,Kolkata,-1344.2,7209.84,8554.04,-1344.2,Loss
2120,0121,Men,Soccer,Phantom GT,12,2,6110.03,0.62,4643.62,01-08-2024,Retail,Pune,-3910.42,4643.62,8554.04,-3910.42,Loss
2000,0122,Kids,Running,React Infinity,M,2,6110.03,0.62,4643.62,20-11-2023,Retail,Kolkata,-3910.42,4643.62,8554.04,-3910.42,Loss
2122,0123,Kids,Soccer,Mercurial Superfly,L,0,6110.03,0.62,0,01-08-2024,Retail,Bangalore,0,0,0,0,Break-even
2123,0124,Men,Running,Air Zoom,L,2,6110.03,0.62,4643.62,01-08-2024,Retail,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2124,0125,Kids,Basketball,Kyrie Flytrap,L,2,6436.11,1.24,-3089.33,01-08-2024,Online,Kolkata,-12099.88,-3089.33,9010.55,-12099.88,Loss
2125,0126,Women,Soccer,Tiempo Legend,M,2,6110.03,0.62,4643.62,01-08-2024,Retail,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2126,0127,Kids,Running,Pegasus Turbo,L,2,5399.58,0.62,4103.68,01-08-2024,Retail,Pune,-3455.73,4103.68,7559.41,-3455.73,Loss
2127,0128,Men,Training,Metcon 7,L,2,4020.5,0.62,3055.58,19-08-2023,Online,Mumbai,-2573.12,3055.58,5628.7,-2573.12,Loss
2128,0129,Women,Basketball,LeBron 20,L,2,8750.71,0.62,6650.54,01-08-2024,Retail,Bangalore,-5600.45,6650.54,12250.99,-5600.45,Loss
2129,0130,Men,Basketball,Zoom Freak,9,2,6110.03,0.62,4643.62,01-08-2024,Retail,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2130,0131,Men,Soccer,Premier III,10,3,6110.03,0.24,13930.87,01-08-2024,Online,Bangalore,1099.81,13930.87,12831.06,1099.81,Profit
2131,0132,Kids,Running,Free RN,XL,2,5561.82,0.62,4226.98,01-08-2024,Retail,Mumbai,-3559.57,4226.98,7786.55,-3559.57,Loss
2132,0133,Men,Running,Free RN,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2133,0134,Men,Training,Metcon 7,XL,2,6789.53,0.62,5160.04,01-08-2024,Retail,Pune,-4345.3,5160.04,9505.34,-4345.3,Loss
2134,0135,Men,Training,ZoomX Invincible,M,2,4738.62,0.62,3601.35,01-08-2024,Online,Hyderabad,-3032.72,3601.35,6634.07,-3032.72,Loss
2135,0136,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,4735.44,03-11-2024,Retail,Hyderabad,-8013.81,4735.44,12749.25,-8013.81,Loss
2136,0137,Kids,Training,ZoomX Invincible,L,1,6110.03,0.62,2321.81,15-09-2024,Online,Pune,-1955.21,2321.81,4277.02,-1955.21,Loss
2137,0138,Men,Soccer,Phantom GT,L,0,5222.02,0.95,0,01-08-2024,Online,Delhi,0,0,0,0,Break-even
2138,0139,Men,Running,Pegasus Turbo,11,2,8055.2,0.62,6121.95,01-08-2024,Online,Mumbai,-5155.33,6121.95,11277.28,-5155.33,Loss
2139,0140,Women,Basketball,Air Jordan,M,2,6110.03,0.62,4643.62,01-08-2024,Retail,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2140,0141,Men,Basketball,Zoom Freak,M,2,6765.74,0.62,5141.96,01-08-2024,Online,Bangalore,-4330.08,5141.96,9472.04,-4330.08,Loss
2141,0142,Kids,Soccer,Tiempo Legend,L,2,6110.03,1.1,-1222.01,22-11-2023,Retail,Kolkata,-9776.05,-1222.01,8554.04,-9776.05,Loss
2142,0143,Kids,Soccer,Mercurial Superfly,L,2,6110.03,0.62,4643.62,03-10-2024,Retail,Kolkata,-3910.42,4643.62,8554.04,-3910.42,Loss
2143,0144,Kids,Training,ZoomX Invincible,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Delhi,-3910.42,4643.62,8554.04,-3910.42,Loss
2144,0145,Women,Lifestyle,Waffle One,L,4,6110.03,0.62,9287.25,01-08-2024,Online,Kolkata,-7820.83,9287.25,17108.08,-7820.83,Loss
2145,0146,Men,Lifestyle,Blazer Mid,6,0,6110.03,0.67,0,01-08-2024,Online,Bangalore,0,0,0,0,Break-even
2146,0147,Kids,Basketball,Air Jordan,XL,2,6110.03,1.12,-1466.41,01-08-2024,Retail,Mumbai,-10020.45,-1466.41,8554.04,-10020.45,Loss
2147,0148,Women,Soccer,Phantom GT,XL,2,6110.03,0.62,4643.62,14-09-2024,Online,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2148,0149,Men,Basketball,Kyrie Flytrap,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Hyderabad,-3910.42,4643.62,8554.04,-3910.42,Loss
2149,0150,Women,Running,Pegasus Turbo,L,2,6110.03,0.62,4643.62,01-08-2024,Online,Kolkata,-3910.42,4643.62,8554.04,-3910.42,Loss
2150,0151,Women,Basketball,LeBron 20,M,2,3313.21,0.48,3445.74,01-08-2024,Online,Bangalore,-1192.75,3445.74,4638.49,-1192.75,Loss
2151,0152,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.62,8542.02,27-05-2025,Online,Bangalore,-7193.28,8542.02,15735.3,-7193.28,Loss
2152,0153,Women,Running,Free RN,8,2,6110.03,0.62,4643.62,01-08-2024,Online,Bangalore,-3910.42,4643.62,8554.04,-3910.42,Loss
2153,0154,Men,Running,React Infinity,L,0,6110.03,0.09,0,01-08-2024,Retail,Pune,0,0,0,0,Break-even
2154,0155,Kids,Lifestyle,Blazer Mid,XL,2,2963.16,0.62,2252,01-04-2025,Online,Bangalore,-1896.42,2252,4148.42,-1896.42,Loss
2155,0156,Men,Soccer,Phantom GT,L,3,6110.03,0.62,6965.43,01-08-2024,Online,Hyderabad,-5865.63,6965.43,12831.06,-5865.63,Loss
2156,0157,Men,Soccer,Tiempo Legend,M,0,6110.03,0.62,0,01-08-2024,Online,Pune,0,0,0,0,Break-even
2157,0158,Kids,Soccer,Premier III,L,1,6110.03,0.62,2321.81,01-08-2024,Online,Delhi,-1955.21,2321.81,4277.02,-1955.21,Loss
2158,0159,Women,Running,React Infinity,M,2,6110.03,0.5,6110.03,01-08-2024,Online,Mumbai,-2444.01,6110.03,8554.04,-2444.01,Loss
2159,0160,Women,Training,ZoomX Invincible,XL,2,3987.65,0.62,3030.61,01-08-2024,Retail,Delhi,-2552.1,3030.61,5582.71,-2552.1,Loss
2160,0161,Kids,Running,Air Zoom,XL,2,6110.03,0.62,4643.62,01-03-2025,Retail,Mumbai,-3910.42,4643.62,8554.04,-3910.42,Loss
2161,0162,Kids,Lifestyle,Waffle One,M,0,5119.41,0.8,0,01-08-2024,Online,Pune,0,0,0,0,Break-even
2162,0163,Men,Lifestyle,Blazer Mid,8,2,7662.11,0.62,5823.2,01-08-2024,Online,Mumbai,-4903.75,5823.2,10726.95,-4903.75,Loss
2163,0164,Men,Lifestyle,Dunk Low,7,2,6110.03,1.24,-2932.81,01-08-2024,Retail,Hyderabad,-11486.85,-2932.81,8554.04,-11486.85,Loss
2164,0165,Women,Soccer,Mercurial Superfly,8,0,6110.03,0.95,0,01-08-2024,Online,Pune,0,0,0,0,Break-even
2165,0166,Kids,Training,SuperRep Go,L,4,4577.65,0.62,6958.03,01-08-2024,Retail,Kolkata,-5859.39,6958.03,12817.42,-5859.39,Loss
2166,0167,Women,Lifestyle,Air Force 1,M,2,7312.38,0.62,5557.41,01-08-2024,Online,Mumbai,-4679.92,5557.41,10237.33,-4679.92,Loss
2167,0168,Men,Running,React Infinity,XL,3,3055.79,0.62,3483.6,01-08-2024,Retail,Mumbai,-2933.56,3483.6,6417.16,-2933.56,Loss
2168,0169,Women,Running,Pegasus Turbo,L,2,6110.03,0.85,1833.01,01-08-2024,Retail,Kolkata,-6721.03,1833.01,8554.04,-6721.03,Loss
2169,0170,Kids,Training,Flex Trainer,L,4,4046.05,0.01,16022.36,01-08-2024,Retail,Delhi,4693.42,16022.36,11328.94,4693.42,Profit
2170,0171,Kids,Lifestyle,Air Force 1,M,0,6110.03,0.62,0,01-08-2024,Online,Kolkata,0,0,0,0,Break-even
2022,0172,Women,Lifestyle,Air Force 1,L,2,9378.52,1.06,-1125.42,29-10-2023,Retail,Mumbai,-14255.35,-1125.42,13129.93,-14255.35,Loss
